Time,Magnitude
0,0.423988
1,0.303516
2,0.416657
3,0.809499
4,1.285912
5,1.748497
6,2.111412
7,2.258386
8,2.209480
9,2.085944
10,1.976936
11,1.973601
12,2.063778
13,2.149159
14,2.116074
15,2.021634
16,1.862648
17,1.376139
18,1.078047
19,0.778381
20,0.558422
21,0.545519
22,0.596609
23,0.445673
24,0.250350
25,0.252634
26,0.320265
27,0.445033
28,0.524734
29,0.647224
30,0.790795
31,0.807266
32,0.719941
33,0.613626
34,0.656255
35,0.843054
36,1.019449
37,1.169473
38,1.342912
39,1.414842
40,1.413881
41,1.409675
42,1.486167
43,1.612583
44,1.671734
45,1.681243
46,1.631986
47,1.588482
48,1.564773
49,1.537757
50,1.500673
51,1.477971
52,1.423290
53,1.382235
54,1.344682
55,1.281281
56,1.197456
57,1.105976
58,1.020180
59,0.942717
60,0.861098
61,0.824121
62,0.826938
63,0.800985
64,0.777115
65,0.755777
66,0.728279
67,0.646595
68,0.508056
69,0.407481
70,0.435175
71,0.427282
72,0.417884
73,0.476574
74,0.531530
75,0.573595
76,0.650446
77,0.680932
78,0.741887
79,0.907181
80,1.077978
81,1.244612
82,1.406430
83,1.394403
84,1.286307
85,1.156846
86,1.049763
87,0.945291
88,0.917707
89,0.909348
90,0.895417
91,0.947824
92,1.019062
93,1.020055
94,0.916066
95,0.793971
96,0.743751
97,0.789275
98,0.839276
99,0.865491
100,0.963752
101,1.052146
102,0.987707
103,0.965415
104,1.123799
105,0.848359
106,0.724522
107,0.705855
108,0.757416
109,0.852548
110,0.965152
111,1.051205
112,1.186670
113,1.157889
114,1.157103
115,1.168956
116,1.250658
117,1.339462
118,1.432198
119,1.478750
120,1.498496
121,1.457532
122,1.401557
123,1.334808
124,1.267456
125,1.161352
126,1.035228
127,0.970816
128,1.069608
129,1.222401
130,1.377852
131,1.443356
132,1.363194
133,1.180524
134,1.008953
135,0.878017
136,0.803463
137,0.795836
138,0.797229
139,0.862206
140,0.970776
141,0.983792
142,0.968685
143,0.984734
144,1.011336
145,1.030907
146,0.988909
147,0.877334
148,0.724107
149,0.629448
150,0.611765
151,0.672703
152,0.746646
153,0.816622
154,0.912410
155,0.996740
156,0.963923
157,0.891707
158,0.831471
159,0.825492
160,0.826723
161,0.822973
162,0.836807
163,0.875058
164,0.877985
165,0.851616
166,0.877170
167,0.902311
168,0.930545
169,0.999574
170,1.063636
171,1.120510
172,1.152273
173,1.097326
174,1.003521
175,0.949526
176,0.936487
177,0.902253
178,0.875183
179,0.921996
180,1.062597
181,1.218728
182,1.357822
183,1.370149
184,1.279818
185,1.112449
186,0.940911
187,0.842522
188,0.863887
189,0.944051
190,1.018121
191,1.059178
192,1.078835
193,1.153367
194,1.181473
195,1.158449
196,1.116626
197,1.087350
198,1.073586
199,1.054502
200,1.034849
201,0.981720
202,0.923905
203,0.904039
204,0.883293
205,0.942514
206,1.023120
207,1.024546
208,1.004677
209,0.987598
210,0.941283
211,0.910645
212,0.909575
213,0.922564
214,0.937650
215,0.898523
216,0.843333
217,0.812374
218,0.821774
219,0.840247
220,0.823724
221,0.831927
222,0.885715
223,0.945109
224,1.001800
225,1.071816
226,1.117910
227,1.109643
228,1.051949
229,0.991966
230,0.990339
231,1.026030
232,1.050789
233,1.048983
234,1.092750
235,1.210980
236,1.310055
237,1.308392
238,1.289090
239,1.272759
240,1.224359
241,1.160653
242,1.110829
243,1.096447
244,1.187574
245,1.347773
246,1.579174
247,1.553067
248,1.478371
249,1.382760
250,1.295321
251,1.213254
252,1.163710
253,1.172285
254,1.205864
255,1.239717
256,1.275466
257,1.290502
258,1.268094
259,1.257192
260,1.297919
261,1.366621
262,1.399262
263,1.370627
264,1.291670
265,1.208189
266,1.157056
267,1.114157
268,1.108264
269,1.125946
270,1.198617
271,1.283512
272,1.356706
273,1.403292
274,1.377444
275,1.296271
276,1.190848
277,1.135665
278,1.120587
279,1.126964
280,1.139194
281,1.141243
282,1.145073
283,1.127692
284,1.113583
285,1.094146
286,1.051535
287,1.018566
288,1.025323
289,1.037276
290,1.025599
291,1.020117
292,1.054873
293,1.102380
294,1.113787
295,1.098855
296,1.107727
297,1.151439
298,1.175263
299,1.213154
300,1.213491
301,1.159139
302,0.949248
303,0.942818
304,0.991300
305,1.035510
306,1.085763
307,1.090757
308,1.006791
309,0.880588
310,0.690039
311,0.651426
312,0.786124
313,0.863891
314,0.931992
315,0.956059
316,0.850083
317,0.670109
318,0.338614
319,0.447251
320,0.578813
321,0.717687
322,0.861999
323,1.010779
324,1.003484
325,0.910540
326,0.812632
327,0.766360
328,0.766888
329,0.807510
330,0.891174
331,0.911506
332,0.969041
333,1.091223
334,1.067187
335,1.043980
336,1.021271
337,1.017433
338,0.992441
339,0.985090
340,0.973115
341,0.969950
342,0.987989
343,0.989314
344,0.960948
345,0.982772
346,0.991255
347,0.985791
348,1.000922
349,1.032033
350,1.037181
351,1.036207
352,1.037451
353,1.016970
354,1.059646
355,1.079797
356,1.050344
357,1.077569
358,1.077353
359,1.081336
360,1.157830
361,1.076288
362,1.001220
363,0.954443
364,0.879833
365,0.882358
366,0.995980
367,1.033116
368,1.048627
369,1.042077
370,0.982259
371,0.952421
372,0.950082
373,0.963628
374,0.999619
375,1.036975
376,1.041728
377,1.009162
378,0.940121
379,0.918520
380,0.978855
381,1.066333
382,1.086880
383,0.988191
384,0.944881
385,1.233344
386,1.069748
387,0.998627
388,0.972293
389,0.951754
390,0.909157
391,0.879972
392,0.892809
393,0.943486
394,1.042703
395,1.073469
396,1.077645
397,1.035811
398,0.994528
399,0.944656
400,0.923344
401,0.932990
402,0.949544
403,0.973139
404,1.006423
405,1.055778
406,1.077326
407,1.025428
408,0.986572
409,1.010514
410,1.014176
411,1.014800
412,1.028462
413,1.015546
414,0.989301
415,0.992519
416,0.982206
417,0.946634
418,0.933466
419,0.957239
420,0.994983
421,1.024656
422,1.031888
423,1.031332
424,1.009412
425,1.055470
426,1.094141
427,1.099156
428,1.040951
429,1.041677
430,1.019117
431,1.002607
432,1.005013
433,1.005791
434,1.060421
435,1.123171
436,1.118711
437,1.064424
438,1.035043
439,0.989487
440,1.029835
441,1.025359
442,1.006492
443,1.020367
444,1.040008
445,1.033621
446,1.036126
447,1.054345
448,1.056473
449,1.014667
450,0.912719
451,0.934434
452,0.967427
453,0.989707
454,1.072376
455,0.977464
456,0.937729
457,0.954770
458,0.938270
459,0.923724
460,0.948476
461,0.906776
462,0.987738
463,1.005280
464,1.010611
465,1.032185
466,1.056741
467,1.063691
468,1.039058
469,1.006878
470,1.053904
471,1.051791
472,1.018556
473,1.002035
474,1.049948
475,1.035619
476,0.998598
477,0.990038
478,1.033705
479,1.021698
480,0.973768
481,0.991729
482,1.002130
483,1.022812
484,1.033991
485,1.018859
486,0.977448
487,0.969822
488,0.977424
489,1.017367
490,1.083479
491,1.122007
492,1.061282
493,1.019437
494,0.964175
495,0.942417
496,0.984720
497,1.050252
498,1.111171
499,1.132929
500,1.114747
501,1.065983
502,0.993436
503,0.976794
504,0.982771
505,0.973224
506,0.976067
507,0.978958
508,0.981052
509,0.987343
510,0.937241
511,0.921056
512,0.923710
513,0.980620
514,0.983563
515,0.959072
516,0.977431
517,1.037533
518,1.073607
519,1.064068
520,1.065678
521,1.027426
522,0.962161
523,1.050773
524,1.001963
525,0.994894
526,0.974191
527,0.993541
528,1.020090
529,1.014862
530,1.000641
531,0.972823
532,0.993529
533,0.985377
534,1.016023
535,1.066432
536,1.098493
537,1.073805
538,1.397299
539,1.471984
540,1.319897
541,1.502886
542,1.580281
543,1.480840
544,1.466821
545,1.463045
546,1.426695
547,1.410133
548,1.342276
549,1.278882
550,1.225034
551,1.133540
552,1.003182
553,0.907920
554,0.818810
555,0.764970
556,0.792399
557,0.958804
558,1.131557
559,1.250183
560,1.302852
561,1.241077
562,1.174128
563,1.086287
564,1.018789
565,0.914827
566,0.766558
